dataset,cell,k_max,dynamic,k_reg,seed,wall_time_s,mse,nll_gaussian,nll_mdn,effective_k,max_p_mid,sum_p_mid
bimodal,B,7,GUMBEL_SOFTMAX,NONE,7,21.8,2.419022,1.865094,,6.198,0.4359,0.4794
bimodal,B,7,GUMBEL_SOFTMAX,NONE,2026,33.5,2.252989,1.825744,,5.0052,0.2674,0.4212
bimodal,B,7,GUMBEL_SOFTMAX,NONE,31,13.6,2.355537,1.8464,,5.9042,0.3417,0.4351
bimodal,B,7,GUMBEL_SOFTMAX,K_PENALTY,42,40.9,2.34652,1.848275,,3.9226,0.3489,0.3815
bimodal,B,7,GUMBEL_SOFTMAX,K_PENALTY,123,19.0,2.299878,1.835831,,3.7683,0.1838,0.2352
bimodal,B,7,GUMBEL_SOFTMAX,K_PENALTY,7,38.5,2.339112,1.844719,,3.0,0.4269,0.5116
bimodal,B,7,GUMBEL_SOFTMAX,K_PENALTY,2026,27.7,2.386396,1.858293,,2.5947,0.1104,0.2145
bimodal,B,7,GUMBEL_SOFTMAX,K_PENALTY,31,27.0,2.208847,1.816851,,4.2856,0.3534,0.4487
bimodal,B,7,GUMBEL_SOFTMAX,ELBO,42,13.9,2.378276,1.855999,,2.5428,0.3598,0.4394
bimodal,B,7,GUMBEL_SOFTMAX,ELBO,123,8.6,2.435605,1.872383,,2.7016,0.2276,0.2722
