dataset,cell,k_max,dynamic,k_reg,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,nll_mdn_mean,nll_mdn_std,effective_k_mean,effective_k_std,max_p_mid_mean,max_p_mid_std,sum_p_mid_mean,sum_p_mid_std,wall_time_s_mean,wall_time_s_std
exponential,C,3,GUMBEL_SOFTMAX,ELBO,1.769714,1.9742066778716454,1.2135158000000001,0.27819131420247467,,,2.2909,0.06908813212122612,0.17934,0.04990038076007036,0.17934,0.04990038076007036,11.14,3.952594084901712
exponential,C,3,GUMBEL_SOFTMAX,K_PENALTY,0.33355480000000004,0.07627666123854664,0.8504455999999999,0.06358892989192383,,,2.94588,0.12096010499334074,0.27658,0.2287816797735343,0.27658,0.2287816797735343,11.24,0.993981891183135
exponential,C,3,GUMBEL_SOFTMAX,NONE,0.3440004,0.09863042353554001,0.8604796,0.08319337028153148,,,2.9514,0.10861701063829743,0.28838,0.21696515157969495,0.28838,0.21696515157969495,11.1,0.9565563234854491
exponential,C,3,NONE,NONE,11.972039,13.953123610119619,1.6706654,0.25624545952621286,2.2793342,0.16609335669947808,3.0,0.0,0.3657,0.04184489216140964,0.3657,0.04184489216140964,6.18,1.97914122790669
exponential,C,3,SOFT_GATING,ELBO,0.3832254,0.1448880780267997,0.9300264,0.19613607529544383,,,2.34918,0.0353604581418286,0.19524,0.16003528673389503,0.19524,0.16003528673389503,9.2,3.023243291566194
exponential,C,3,SOFT_GATING,K_PENALTY,0.4262646,0.12818038851282987,0.9181782,0.12695160763928912,,,2.58128,0.3169153625181335,0.3235,0.27126800401079376,0.3235,0.27126800401079376,8.82,2.4304320603547014
exponential,C,3,SOFT_GATING,NONE,0.32886540000000003,0.04277998337774339,0.8568232,0.061113574946160695,,,2.6899,0.2952095611595261,0.31646,0.31323488471113814,0.31646,0.31323488471113814,9.26,1.8928814014618025
exponential,C,5,GUMBEL_SOFTMAX,ELBO,5.666024200000001,3.2990035016982326,1.6379106,0.2579678734383412,,,2.4614000000000003,0.09405729636769265,0.34074,0.09589313322652461,0.47135999999999995,0.1566356217467789,16.32,4.717732506194051
exponential,C,5,GUMBEL_SOFTMAX,K_PENALTY,0.31343160000000003,0.037264854532119154,0.8430440000000001,0.06180466894580055,,,4.9971000000000005,0.004428882477555827,0.38828,0.16980009422847797,0.51062,0.18838706696586158,19.28,0.6379655163094641
exponential,C,5,GUMBEL_SOFTMAX,NONE,0.3384704,0.038389703968642414,0.8681787999999999,0.04745560952300579,,,4.99666,0.007412691818766088,0.45167999999999997,0.09775795108327505,0.55992,0.10810967579268754,18.6,1.202081528017131
