dataset,k,cell,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,nll_mdn_mean,nll_mdn_std,nll_own_mean,nll_own_std,max_p_mid_mean,max_p_mid_std,anchor_error_mean,anchor_error_std
piecewise,3,D,0.3253183333333333,0.021535137086476426,0.806543,0.009871523742563794,0.8911063333333334,0.05140456672644298,0.806543,0.009871523742563794,,,0.4176333333333333,0.0735021995135746
piecewise,3,E,0.37782866666666665,0.15442321953104501,0.7101853333333333,0.1780576326960834,0.6214006666666666,0.13075616839879228,0.6214006666666666,0.13075616839879228,,,3.3459000000000003,1.3717238461148076
piecewise,3,F,0.32542366666666667,0.06978488458350655,0.6926976666666667,0.15354338752396124,0.600718,0.04975851327160005,0.600718,0.04975851327160005,,,1.1776,0.7691239627004218
piecewise,3,G,0.42820400000000003,0.13862678354849037,0.8750326666666667,0.11588879449426212,0.8775036666666667,0.12917954768589854,0.8775036666666667,0.12917954768589854,,,0.23806666666666665,0.09071153914102292
piecewise,3,H,0.42731366666666676,0.13995245121230762,0.8744706666666667,0.11529776990615791,0.8764723333333334,0.12831606108485932,0.8764723333333334,0.12831606108485932,,,0.24300000000000002,0.09479683539021753
piecewise,5,A,0.2927406666666667,0.049592727212095664,0.5318516666666667,0.01761320159236623,0.8369163333333334,0.2556113883854422,0.5318516666666667,0.01761320159236623,0.05029999999999999,0.02789856627140542,2.3823666666666665,0.9674038574108197
piecewise,5,B,0.29564366666666664,0.033026329077469864,0.49459800000000004,0.05234909971527692,1.464622,1.033300245271915,0.49459800000000004,0.05234909971527692,0.30596666666666666,0.27179430334967164,1.1975,0.2351040833333186
piecewise,5,C,0.31121899999999997,0.02997303074432078,0.624079,0.02899507487488174,0.9169653333333333,0.1335076777280368,0.624079,0.02899507487488174,0.9265333333333333,0.004221768981521074,0.35189999999999994,0.11770114697826864
piecewise,5,ClassReg,0.34865799999999997,0.05212204081768098,0.8942326666666668,0.07962259052136732,,,0.8942326666666668,0.07962259052136732,,,,
piecewise,5,D,0.279997,0.005501432449826108,0.6214283333333334,0.02586827926889095,0.9643013333333332,0.14781435077939256,0.6214283333333334,0.02586827926889095,0.9432666666666667,0.020035052616185833,0.3766,0.03370267051733437
piecewise,5,E,0.2923926666666667,0.04832392207109573,0.572597,0.057210098645256724,0.515466,0.048818603861642766,0.515466,0.048818603861642766,0.7284,0.06809765047341934,2.496233333333333,0.8160552085081826
piecewise,5,F,0.278526,0.0220711462547825,0.5511816666666667,0.012751778006746081,0.510979,0.031896335416470634,0.510979,0.031896335416470634,0.45393333333333336,0.3934756070372512,1.5097666666666667,1.4423205931183722
piecewise,5,G,0.292373,0.022663308033029933,0.7099643333333333,0.0448553366427378,0.708204,0.06662600636388166,0.708204,0.06662600636388166,0.9226666666666666,0.018262073631801365,0.3469,0.09683764763768274
piecewise,5,H,0.292538,0.035885258700474765,0.7006293333333332,0.06805205165410765,0.6965043333333334,0.10446701718883972,0.6965043333333334,0.10446701718883972,0.9226666666666666,0.018262073631801365,0.3673333333333333,0.11364969570277493
